Yaourts à boire|Carrefour|Lait fermenté à boire Nature sucré|b|_Lait_ partiellement écrémé à 1.5% de matière grasse, sucre 6.7 %, dextrose 1.5 %, minéraux du _lait_, _ferments lactiques_ dont Lactobacillus casei, vitamines D et B6. protéines de _lait_.|285|1.4|11||2.7|0.1||7.5e-07|||||||0.21|||0.12|||||0|Lait, lait, ferments lactiques, lait||
Yaourts à boire|Carrefour Kids,Carrefour|Yaourt en gourde|b|Framboise : _Lait_ écrémé, sucre 8.4 %, _crème_, purée de framboise 6 %, poudre de _lait_ écrémé, amidon de maïs, arôme naturel, épaississant : gomme guar, ferments _lactiques_, jus concentré de citron, vitamine D. Saveur vanille : _Lait_ écrémé, eau, sucre 8.3 %, _crème_, poudre de _lait_ écrémé, amidon de maïs, arôme naturel de vanille avec autres arômes naturels, jus concentré de citron, stabilisant : pectines, ferments _lactiques_, vitamine D.|372|2.3|13||3.7|0.1||8.3e-07||||||||||0.133|||||0|Lait, crème, lait, lactiques, Lait, crème, lait, lactiques, Lait, crème, lait, lactiques, Lait, crème, lait, lactiques|E412 - Gomme de guar,E440 - Pectines|
Yaourts à boire|Casino|Milky Mix - Yaourt à boir saveur fraise|b|_Lait_ écrémé à base de poudre de _lait_ - sucre 6% - sirop de glucose-fructose 3.8% - _crème_ - arômes - concentré des minéraux du _lait_ - ferments lactiques. Lait et crème origine : France|283|1.3|11||2.8|0.12|||||||||||||||||0|Lait, lait, crème, lait, lactiques||
Yaourts à boire|Danone,Les Danones du Monde|Lassi inspire d inde|b|_Lait_ partiellement écrémé à 2.2 % de matière grasse, eau, sucre 5 %, arôme naturel, ferments lactiques.|230|1.5|7.9||2.4|0.1||||||||||||0.083|||||0|en:milk||
Yaourts à boire|Délisse,Marque Repère|Deli'Max|b|_Lait_ partiellement écrémé 89%, sucre 9.4%, arôme naturel, minéraux du _lait_, ferments lactiques, protéines de _lait_.|280|1.3|11|0|2.7|0.1||||||||||||0.12|||||0|Lait, lait, lait, lait||
Yaourts à boire|Fruité|P'tit Yaourt au Lait Entier|c|Yaourt, sucre 8.9%, abricot ou framboise : 6%, lactate de calcium, E1442. E415. arômes naturels, E202. vitamine D|418|3.2|13.9||3.3|0.1||7.5e-07||||||||||0.12|||||0|lait|E1442 - Phosphate de diamidon hydroxypropyle,E202 - Sorbate de potassium,E327 - Lactate de calcium,E415 - Gomme xanthane|
Yaourts à boire|Fruité|P'tit Yaourt Fraise et Pêche|c|_lait_ entier 85%, sucre 8.7% — fraise 6%, pêche 6% - _lactose_ et _protéines de lait_ — amidon modifié, calcium— arômes naturels, épaississant : E415 - conservateur : E202 - _ferments lactiques_ - vitamine D3  |410|3|13.8|0.1|3.3|0.127||7.5e-07|||||||||||||||0|lait, lactose, protéines de lait, ferments lactiques|E14XX - Amidons modifiés,E202 - Sorbate de potassium,E415 - Gomme xanthane|
Yaourts à boire|Mamie Nova|Yaourt à boire Fraise|b|_LAIT_ partiellement écrémé, sucre 8.1%, purée de fraise 6%, arôme, amidon modifié, protéines de _LAIT_, ferments lactiques, colorant : E120|297|1.3|12||2.7|0.1|||||||||||||||||0|en:milk|E120 - Acide carminique,E14XX - Amidons modifiés|
Yaourts à boire|Michel et Augustin|Vache à boire pêche larme de menthe|c|_Lait_ entier, de la purée de pêches, une cuillère de sucre, une pincée d'amidon, quelques gouttes de jus de citron concentré, des ferments lactiques, une soupçon d'arôme naturel et d'arôme naturel de menthe.|363|3|11.7||2.6|0.08|||||||||||||||||0|Lait, lait||
Yaourts à boire|Michel et Augustin|Vache à boire noisettes|c|Du bon lait entier, une cuillère de sucre, de la pâte de noisettes, une pincée d'amidon, quelques gouttes d'arôme naturel de vanille, des ferments lactiqueset une pluie de graines de vanille.|414|4.3|11.9||2.7|0.08|||||||||||||||||0|||
Yaourts à boire|Milbona,Lidl|Les Milbo'z à Boire à la Vanille|b|_Lait_ partiellement écrémé, 9.5 % sucre, arôme naturel de vanille, ferments lactiques.|322|1.3|13||3.1|0.1|||||||||||||||||0|Lait, lait||
Yaourts à boire|Pâturages|Paturages Yab Sav.vanille|b|_Lait_ partiellement écrémé, sucre 8.8 %, arôme naturel de vanille, concentré des minéraux du _lait_, ferments _lactiques_.|268|1.3|10|0|3|0.1||||||||||||0.12|||||0|Lait, lait, lactiques||
Yaourts à boire|Pâturages,Intermarché|Paturages Yab Sav. Fraise|b|_Lait_ partiellement écrémé, sucre 8.8% , arôme naturel , concentré des minéraux du _lait_ , ferments _lactiques_.|268|1.3|10||3|0.1|||||||||||||||||0|Lait, lait, lactiques||
Yaourts à boire|Pâturages,Intermarché|YAB saveur Citron|b|_Lait_ partiellement écrémé, sucre 8.8%, arôme, concentré des minéraux du _lait_, ferments _lactiques_.|305|1.3|12||3.1|0.08|||||||||||||||||0|Lait, lait, lactiques||
